Gene	C12
C12_Sobic.002G103600	0
C12_Sobic.002G104000	0
C12_Sobic.002G104500	0
C12_Sobic.002G104900	0
C12_Sobic.002G107400	1
C12_Sobic.002G108600	0
C12_Sobic.002G112300	0
C12_Sobic.002G112400	0
C12_Sobic.002G113400	0
C12_Sobic.002G113600	0
C12_Sobic.002G113700	0
C12_Sobic.002G114000	0
C12_Sobic.002G115801	0
C12_Sobic.002G116400	0
C12_Sobic.002G116800	0
C12_Sobic.002G117200	0
C12_Sobic.002G117800	0
C12_Sobic.002G117850	0
C12_Sobic.002G119700	1
C12_Sobic.002G120200	0
C12_Sobic.002G120400	0
C12_Sobic.002G122100	0
C12_Sobic.002G125600	0
C12_Sobic.002G126000	0
C12_Sobic.002G127800	0
C12_Sobic.002G128000	1
C12_Sobic.002G128300	0
C12_Sobic.002G128600	0
C12_Sobic.002G129100	0
C12_Sobic.002G129900	0
C12_Sobic.002G130700	0
C12_Sobic.002G131600	1
C12_Sobic.002G133100	1
C12_Sobic.002G133900	0
C12_Sobic.002G134100	1
C12_Sobic.002G134250	0
C12_Sobic.002G137800	0
C12_Sobic.002G138700	0
C12_Sobic.002G139000	1
C12_Sobic.002G139100	0
C12_Sobic.002G139200	0
C12_Sobic.002G140600	0
C12_Sobic.002G142000	0
C12_Sobic.002G142200	2
C12_Sobic.002G142300	4
C12_Sobic.002G142700	0
C12_Sobic.002G144400	0
C12_Sobic.002G145200	1
C12_Sobic.002G145500	0
C12_Sobic.002G145600	0
C12_Sobic.002G146200	0
C12_Sobic.002G146601	0
C12_Sobic.002G148166	0
C12_Sobic.002G148700	0
C12_Sobic.002G149200	0
C12_Sobic.002G149550	1
C12_Sobic.002G150766	0
C12_Sobic.002G151400	0
C12_Sobic.002G152600	0
C12_Sobic.002G154300	1
C12_Sobic.002G158300	0
C12_Sobic.002G158600	0
C12_Sobic.002G159750	0
C12_Sobic.002G160100	0
C12_Sobic.002G163600	0
C12_Sobic.002G163700	0
C12_Sobic.002G163950	1
C12_Sobic.002G165200	0
C12_Sobic.002G168500	0
C12_Sobic.002G169400	0
C12_Sobic.002G170100	0
C12_Sobic.002G170780	0
C12_Sobic.002G171600	0
C12_Sobic.002G172500	0
C12_Sobic.002G172900	0
C12_Sobic.002G173700	0
C12_Sobic.002G174000	0
C12_Sobic.002G174200	0
C12_Sobic.002G174300	0
C12_Sobic.002G175050	0
C12_Sobic.002G175500	1
C12_Sobic.002G175600	1
C12_Sobic.002G176400	0
C12_Sobic.002G176900	0
C12_Sobic.002G177600	0
C12_Sobic.002G178000	0
C12_Sobic.002G180200	0
C12_Sobic.002G180400	0
C12_Sobic.002G180600	1
C12_Sobic.002G181200	0
C12_Sobic.002G182300	0
C12_Sobic.002G183000	0
C12_Sobic.002G183300	0
C12_Sobic.002G183600	0
C12_Sobic.002G184600	0
C12_Sobic.002G184800	0
C12_Sobic.002G185200	0
C12_Sobic.002G186400	0
C12_Sobic.002G187032	0
C12_Sobic.002G187200	1
C12_Sobic.002G189000	0
C12_Sobic.002G189300	0
C12_Sobic.002G189900	0
C12_Sobic.002G190100	0
